GCCode  state    Latitude   Longtitude  FP Name
GC1KZHK NotFound 50°49.843N 015°09.055E 45 Osamele_jizerske_pomnicky_3_-_Porscheho_smrt
GC1KZJB NotFound 50°49.782N 015°11.133E 65 Osamele_jizerske_pomnicky_4_-_Kdo_jinemu_jamu_kopa
GC1BVKP NotFound 50°45.429N 014°31.635E 1 Otaznik
GC2VTKP NotFound 50°47.088N 014°59.091E 12 Pamatne_stromy_Liberce
GC2Y3CF NotFound 50°35.136N 014°24.565E 35 Pamatne_stromy_ve_Skalce
GC2M3BA NotFound 50°46.547N 015°03.963E 84 pamatnik_/_memorial
GC2TK4D NotFound 50°34.991N 015°09.118E 65 Pamatny_buk
GC2A6YK NotFound 50°43.802N 015°05.844E 41 Pamatny_dub_na_Orli_louce
GC1PXG1 NotFound 50°35.582N 014°32.798E 11 Pan_Filuta_se_zlobí.....
GC1E1QY NotFound 50°41.453N 015°23.842E 0 Pan_prstenu_#_1_-_Kraj
GC1E65R NotFound 50°41.127N 015°26.633E 2 Pan_prstenu_#_2_-_Fangorn
GC1E65W NotFound 50°46.316N 015°22.639E 3 Pan_prstenu_#_3_-_Odula
GC1E660 Found 50°44.818N 015°32.024E 4 Pan_prstenu_#_4_-_Hora osudu
GC2MJ5V Found 50°40.777N 015°13.444E 1 Panoramata
GC1JH4B NotFound 50°38.655N 014°35.157E 45 Pat_a_Mat
GC1ZF1R NotFound 50°38.411N 014°30.606E 0 Pavlik
GC1TT7D NotFound 50°43.582N 015°18.947E 32 Pavlinka_aneb_konec_textilu_v_Cechach
GC16965 NotFound 50°48.590N 015°04.507E 54 Pavucinka
GC2W50Q NotFound 50°44.277N 015°10.261E 21 Pepicek_jde_do_skolky
GC1R7NX NotFound 50°46.297N 015°25.497E 0 Pernikova_chaloupka
GC1W2RY NotFound 50°48.416N 014°28.019E 54 Pocitani_ovecek
GC1FJBK NotFound 50°45.352N 015°13.930E 74 Pocta_Jane_Austenove_-_Tribute_to_Jane_Austen
GC2QAXB NotFound 50°24.270N 014°18.157E 32 Podripsko_literarni_#1:_Broucci
GC35DHJ NotFound 50°35.328N 015°08.331E 29 Podzimni_malovani/The_Autumn_painting
GC2NTT7 NotFound 50°58.286N 015°01.269E 27 Pohanske_kameny
GC1810X NotFound 50°46.235N 015°26.042E 44 Poklad_piratu_/_Pirate´s_treasure
GC26FB3 NotFound 50°34.547N 014°41.600E 100 Popelka_bez_holoubka_/_Cinderella_without_the_pige
GC32456 NotFound 50°35.787N 014°24.827E 85 POSLEDNI_KRIZOVA_CESTA
GC2H9YG NotFound 50°45.885N 015°03.149E 12 Povolebni...
GC2QBXG NotFound 50°43.973N 015°05.774E 32 Pozorovatelna/Loophole
GCVQAW NotFound 50°45.469N 015°05.341E 41 Práce_pro_Columba_/_Task_for_Columbo
GC1T7JA Found 50°42.144N 015°12.842E 48 Pramen_Zernovniku
GC137NY NotFound 50°41.716N 014°39.672E 19 Pramen_Trí_svatých
GC133XJ NotFound 50°43.544N 015°13.634E 18 Prameny_Nisy_#1
GC19GYE NotFound 50°44.266N 015°10.553E 39 Prehradni_zahada
GC2NK1T NotFound 50°45.704N 015°06.984E 27 Princezna_z_Harcova
GC2CXJ2 NotFound 50°45.227N 015°02.736E 45 Pruhovane_prase_?
GC1HFQF NotFound 50°45.389N 015°04.928E 32 PSZ_-_1
GC2RRK0 NotFound 50°36.167N 015°18.073E 12 Pub_Tour_Bonus
GC2RA6A NotFound 50°40.291N 014°33.224E 0 Pulnocni_projektant
GC269EA Found 50°42.232N 015°25.440E 11 Rakosnicek_aneb_ucime_se_hrát_Wherigo
GC19XBP NotFound 50°31.599N 015°04.795E 28 Rasovina_2007
GC1KCKH NotFound 50°32.674N 014°32.185E 17 Receptova_cache
GC27JBZ NotFound 50°38.225N 014°26.404E 2 Retezovka_-_Catenary
GC1YB78 NotFound 50°45.027N 015°03.517E 3 Rochlice_-_kostel
